"ABKUERZUNG","BEZEICHNUN","BIS","FK_ZAEHLER","RICHTUNG_I","RICHTUNG_O","VON","Easting","Northing","Easting_WGS","Northing_WGS"
"VZS_BINZ","Binzmühlestrasse",,"ECO09113500","Oerlikon","Glaubtenstrasse",2010-11-30T00:00:00,2681856.93,1251990.855,8.52328638867578,47.4136413252354
"VZS_BUCH","Bucheggplatz",,"ECO09113505","Hofwiesenstrasse","Höngg",2014-06-26T00:00:00,2682646.917,1250363.848,8.53345215127623,47.3989104954264
"VZS_KLOW","Kloster-Fahr-Weg",,"Y0412032046","Stadtgrenze","Innenstadt",2010-06-25T00:00:00,2679027.936,1250673.865,8.48557195357655,47.40214276271
"VZS_HOFW","Hofwiesenstrasse",,"ECO09113507","Bucheggplatz","",2010-09-23T00:00:00,2682695.918,1250605.849,8.53414593760299,47.4010807345121
"VZS_LIMB","Limmatquai  Ri. Bellevue",,"Y2G14045586","Bellevue","---",2014-06-25T00:00:00,2683446.897,1247062.835,8.54343250773143,47.3691225028817
"VZS_LUXG","Lux-Guyer-Weg",,"ECO09022739","Innenstadt","Wipkingen",2009-12-02T00:00:00,2682932.904,1248820.841,8.53695406623037,47.3849977820829
"VZS_MILI","Militärbrücke",,"Y2G13124879","Bahnhofstrasse","Langstrasse",2014-03-12T00:00:00,2682730.894,1247707.836,8.53407332203347,47.3750135217659
"VZS_MYTH","Mythenquai",,"ECO09113499","Innenstadt","Wollishofen",2010-07-14T00:00:00,2682872.887,1245890.836,8.53561691149758,47.3586546755674
"VZS_MUEH","Mühlebachstrasse",,"Y2G12102806","Bellevue","Riesbach",2010-09-23T00:00:00,2684005.903,1246565.835,8.55073931162589,47.3645817740299
"VZS_ZOLL","Zollstrasse",,"Y2G13124876","Sihlquai","Langstrasse",2014-03-11T00:00:00,2682945.898,1248224.838,8.53701565475202,47.3796360809041
"VZS_TOED","Tödistrasse",20160726,"Y2G13124877","Seeufer","Hauptbahnhof",2014-03-11T00:00:00,2682880.89,1246548.835,8.53584461087938,47.3645713251775
"VZS_TALS","Talstrasse",,"Y2G13124878","Hauptbahnhof","Seeufer",2014-03-12T00:00:00,2682754.891,1247322.834,8.53431985150161,47.3715480383022
"VZS_SCHU","Schulstrasse",,"ECO10053914","Irchel","Bahnhof Oerlikon",2012-08-08T00:00:00,2683404.921,1251616.847,8.54372588201983,47.4100835150129
"VZS_ANDR","Andreasstrasse",,"ECO09113502","Oerlikon","Wallisellen",2010-12-16T00:00:00,2684577.926,1251966.838,8.55933212896744,47.4130814486391
"VZS_SIHL","Sihlpromenade",,"ECO09113503","Innenstadt","Saalsporthalle",2010-07-14T00:00:00,2682374.89,1247054.837,8.52923988459113,47.3691854460191
"VZS_BERT","Bertastrasse",,"ECO09113506","Wiedikon","Aussersihl",2010-07-26T00:00:00,2681384.899,1247735.846,8.51625821804024,47.3754330453943
"FZS_LETL","Lettenviadukt (Limmatstr.)",20151001,"U15G3063869","Limmat","Gleisanlagen",2015-03-31T00:00:00,2682170.909,1249123.847,8.52691946894911,47.3878183050005
"FZS_MYTH","Mythenquai Unterführung",20150430,"U15G3104443","Seeufer","Bhf. Wollishofen",2013-11-28T00:00:00,2682812.885,1245489.836,8.53474862653656,47.3550558530493
"FZS_ARBO","Arboretum",20150908,"U15G3104446","Stadtgrenze","Innenstadt",2015-03-10T00:00:00,2682972.89,1246328.835,8.53702163043853,47.362581200194
"VZS_FISC","Fischerweg",,"Y0410090357","Innenstadt","Stadtgrenze",2010-07-09T00:00:00,2678955.935,1250442.864,8.48457742465221,47.4000739176038
"VZS_LIMC","Limmatquai  Ri. Central",,"Y2G14045587","Central","---",2014-06-25T00:00:00,2683456.897,1247064.835,8.54356525949611,47.3691392232948
"FZS_HARD","Hardeggsteg",20160331,"U15G4025180","Kloster-Fahr-Weg","Hardturmstrasse",2015-10-01T00:00:00,2680438.925,1249929.857,8.50412837210709,47.3952808149588
"FZS_ALTO","Altstetterstrasse Ost",,"U15G3063866","Bhf. Altstetten","Lindenplatz",2015-10-01T00:00:00,2679189.926,1249435.86,8.48749851483361,47.3909894421929
"VZS_SCHE","Scheuchzerstrasse",,"ECO09113501","Innenstadt","Irchel",2010-09-23T00:00:00,2683572.899,1248544.836,8.54537722470593,47.3824347007051
"FZS_MYTH","Mythenquai Unterführung",20160404,"U15G3104443","Seeufer","Bhf. Wollishofen",2015-10-07T00:00:00,2682812.885,1245489.836,8.53474862653656,47.3550558530493
"FZS_ALTW","Altstetterstrasse West",,"U15G3104445","Bhf. Altstetten","Lindenplatz",2015-10-16T00:00:00,2679173.926,1249437.86,8.48728697340987,47.3910093521829
"FZS_INGA","In Gassen",,"YPH15108550","Paradeplatz","Rathaus",2015-10-21T00:00:00,2683266.896,1247228.834,8.54108054707129,47.3706381634244
"VZS_SAUM","Saumackerstrasse",,"Y2G13124875","Uetliberg","Bahnhof Altstetten",2014-03-11T00:00:00,2679336.924,1249345.859,8.4894293152891,47.3901623395906
"VZS_LANN","Langstrasse (Unterführung Nord)",,"Y2G12102807","Helvetiaplatz","Limmatplatz",2013-06-27T00:00:00,2682277.902,1248324.842,8.52818941038989,47.3806192097398
"FZS_KATZ","Katzenbach",20151001,"U15G3104442","Affoltern","Seebach",2015-03-31T00:00:00,2681401.937,1253279.861,8.51749298309204,47.4252901219772
"FZS_QUAN","Quaibrücke Nord (Limmatseite)",20151124,"U15G3063868","Bellevue","Bürkliplatz",2013-08-23T00:00:00,2683403.24765,1246821.1344,8.54280965712312,47.3669543225972
"FZS_LETL","Lettenviadukt (Limmatstr.)",20160930,"U15G3063869","Limmat","Gleisanlagen",2016-03-30T00:00:00,2682170.909,1249123.847,8.52691946894911,47.3878183050005
"FZS_ALTO","Altstetterstrasse Ost",20150331,"U15G3063866","Bhf. Altstetten","Lindenplatz",2013-11-28T00:00:00,2679189.926,1249435.86,8.48749851483361,47.3909894421929
"FZS_ALTW","Altstetterstrasse West",20150331,"U15G3104445","Bhf. Altstetten","Lindenplatz",2013-11-28T00:00:00,2679173.926,1249437.86,8.48728697340987,47.3910093521829
"FZS_CASS","Cassiopeiasteg",20151007,"U15G3104443","Bellevue","Stadtgrenze",2015-04-30T00:00:00,2683020.15915,1244136.2489,8.53724096568538,47.3428563716679
"FZS_CHOR","Chorherrenweg",20151001,"U15G4025180","Limmat","Meierhofplatz",2015-03-31T00:00:00,2680001.933,1250595.859,8.49845976770049,47.4013236366841
"FZS_HARD","Hardeggsteg",20150331,"U15G4025180","Kloster-Fahr-Weg","Hardturmstrasse",2014-03-20T00:00:00,2680438.925,1249929.857,8.50412837210709,47.3952808149588
"FZS_INGA","In Gassen",20150909,"YPH14106664","Paradeplatz","Rathaus",2014-11-07T00:00:00,2683266.896,1247228.834,8.54108054707129,47.3706381634244
"FZS_LETD","Letten / Dynamo",20150331,"U15G3063869","Limmatplatz","Hauptbahnhof",2014-07-10T00:00:00,2682977.903,1248743.84,8.53753565665429,47.3842996193068
"FZS_LETD","Letten / Dynamo",20160329,"U15G3063869","Limmatplatz","Hauptbahnhof",2015-10-01T00:00:00,2682977.903,1248743.84,8.53753565665429,47.3842996193068
"FZS_OHMO","Ohmstrasse Ost",20151001,"U15G3063866","Bhf. Oerlikon","Sternen Oerlikon",2015-03-31T00:00:00,2683559.922,1251681.846,8.54579149750612,47.4106484173324
"FZS_OHMW","Ohmstrasse West",20150925,"U15G3104445","Bhf. Oerlikon","Sternen Oerlikon",2015-03-31T00:00:00,2683572.922,1251686.846,8.54596465913787,47.410691733846
"FZS_WEIN","Weinbergfussweg",,"U15G3063872","Polyterrasse","Hauptbahnhof",2013-07-11T00:00:00,2683523.897,1248170.835,8.5446585745372,47.379077394789
"FZS_CHOR","Chorherrenweg",20160930,"U15G4025180","Limmat","Meierhofplatz",2016-04-01T00:00:00,2680001.933,1250595.859,8.49845976770049,47.4013236366841
"FZS_INGA","In Gassen",20141107,"U15G3063871","Paradeplatz","Rathaus",2013-07-11T00:00:00,2683266.896,1247228.834,8.54108054707129,47.3706381634244
"FZS_LANO","Langstrasse (Unterführung Ost)",,"U15G3104444","Gleisanlagen","Limmat",2015-03-10T00:00:00,2682359.902,1248447.842,8.52929779212873,47.3817151489692
"FZS_LANW","Langstrasse (Unterführung West)",,"U15G3063870","Limmatplatz","Helvetiaplatz",2013-07-11T00:00:00,2682333.903,1248460.842,8.52895592969507,47.3818353122448
"FZS_LIMM","Limmatquai",,"U15G3063873","Rathaus","Seeufer",2013-07-11T00:00:00,2683436.897,1247198.835,8.54332547531629,47.3703468683985
"FZS_MILI","Militärbrücke",,"U15G3063864","Löwenplatz","Langstrasse",2013-07-11T00:00:00,2682688.895,1247734.837,8.53352226930527,47.3752616237451
"FZS_ZEHN","Zehntenhausplatz Unterführung",20150331,"U15G3104442","Louis Conne Weg","In Böden",2013-11-28T00:00:00,2680576.937,1252580.867,8.50643406761614,47.4191053610158
"FZS_ZEHN","Zehntenhausplatz Unterführung",20160331,"U15G3104442","Louis Conne Weg","In Böden",2015-10-01T00:00:00,2680576.937,1252580.867,8.50643406761614,47.4191053610158
"FZS_QUAS","Quaibrücke Süd (Seeseite)",20160215,"U15G3063867","Bellevue","Bürkliplatz",2013-08-23T00:00:00,2683407.481,1246794.676,8.5428607666731,47.3667158362253
"FZS_OHMW","Ohmstrasse West",,"U15G3063867","Sternen Oerlikon","Bhf. Oerlikon",2016-09-02T00:00:00,2683561.042,1251702.988,8.54581028774605,47.4108384106901
"FZS_LETD","Letten / Dynamo",,"U15G3063869","Limmatplatz","Hauptbahnhof",2016-10-01T00:00:00,2682977.903,1248743.84,8.53753565665429,47.3842996193068
"FZS_HARD","Hardeggsteg",,"U15G4025180","Kloster-Fahr-Weg","Hardturmstrasse",2016-10-01T00:00:00,2680438.925,1249929.857,8.50412837210709,47.3952808149588
"FZS_ZEHN","Zehntenhausplatz Unterführung",,"U15G3104442","Louis Conne Weg","In Böden",2016-10-01T00:00:00,2680576.937,1252580.867,8.50643406761614,47.4191053610158
"FZS_MYTH","Mythenquai Unterführung",,"U15G3104443","Seeufer","Bhf. Wollishofen",2016-10-01T00:00:00,2682812.885,1245489.836,8.53474862653656,47.3550558530493
"FZS_QUAS","Quaibrücke Süd (Seeseite)",20170313,"YCH16039437","Bürkliplatz","Bellevue",2016-10-18T00:00:00,2683407.481,1246794.676,8.5428607666731,47.3667158362253
"FZS_OHMW","Ohmstrasse West",20160420,"U15G3063865","Sternen Oerlikon","Bhf. Oerlikon",2016-04-02T00:00:00,2683559.922,1251681.846,8.54579149750612,47.4106484173324
"FZS_OHMO","Ohmstrasse Ost",,"U15G3104447","Bhf. Oerlikon","Sternen Oerlikon",2016-04-01T00:00:00,2683572.922,1251686.846,8.54596465913787,47.410691733846
"FZS_KATZ","Katzenbach",20160930,"U15G3104442","Affoltern","Seebach",2016-04-01T00:00:00,2681401.937,1253279.861,8.51749298309204,47.4252901219772
"FZS_CASS","Cassiopeiasteg",20160930,"U15G3104443","Bellevue","Stadtgrenze",2016-04-05T00:00:00,2683020.15915,1244136.2489,8.53724096568538,47.3428563716679
"VZS_LANS","Langstrasse (Unterführung Süd)",,"Y2H16039396","Helvetiaplatz","Limmatplatz",2016-04-27T00:00:00,2682355.55,1248444.74,8.52923959615962,47.3816877955525
"FZS_KLOE","Kloster-Fahr-Weg (Europabrücke)",,"U15G6121229","Werdinsel","Innenstadt",2017-01-13T00:00:00,2680048.93,1250303.859,8.49903002173444,47.3986918641162
"FZS_ARBO","Arboretum",,"U15G3063865","Stadtgrenze","Innenstadt",2016-07-21T00:00:00,2682972.89,1246328.835,8.53702163043853,47.362581200194
"FZS_QUAN","Quaibrücke Nord (Limmatseite)",20170313,"YCH16121210","Bellevue","Bürkliplatz",2017-01-13T00:00:00,2683403.24765,1246821.1344,8.54280965712312,47.3669543225972
"VZS_HARW","Hardbrücke West (Seite Altstetten)",,"Y2H16069942","Escher-Wyss-Platz","Hardplatz",2016-07-06T00:00:00,2681319.38825,1248665.2092,8.51555975695033,47.3837992636225
"VZS_HARO","Hardbrücke Ost (Seite HB)",,"Y2H16069943","Escher-Wyss-Platz","Hardplatz",2016-07-06T00:00:00,2681338.9675,1248646.68835,8.51581565103513,47.3836302815768
